name,github,api,website
bluesky-social,https://github.com/bluesky-social?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/bluesky-social,
langchain-ai,https://github.com/langchain-ai?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/langchain-ai,https://www.langchain.com
TanStack,https://github.com/TanStack?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/TanStack,https://TanStack.com
unjs,https://github.com/unjs?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/unjs,https://unjs.io
denoland,https://github.com/denoland?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/denoland,https://deno.land
berachain,https://github.com/berachain?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/berachain,berachain.com
prisma,https://github.com/prisma?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/prisma,https://www.prisma.io
radix-ui,https://github.com/radix-ui?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/radix-ui,radix-ui.com
nestjs,https://github.com/nestjs?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/nestjs,https://nestjs.com/
total-typescript,https://github.com/total-typescript?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/total-typescript,https://totaltypescript.com
worldcoin,https://github.com/worldcoin?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/worldcoin,https://www.worldcoin.org
nomic-ai,https://github.com/nomic-ai?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/nomic-ai,
SimplifyJobs,https://github.com/SimplifyJobs?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/SimplifyJobs,https://simplify.jobs/
Orbiter-Finance,https://github.com/Orbiter-Finance?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/Orbiter-Finance,www.orbiter.finance
BuilderIO,https://github.com/BuilderIO?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/BuilderIO,https://builder.io
shadcn-ui,https://github.com/shadcn-ui?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/shadcn-ui,https://ui.shadcn.com
venom-blockchain,https://github.com/venom-blockchain?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/venom-blockchain,https://venom.foundation
ArjanCodes,https://github.com/ArjanCodes?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/ArjanCodes,https://www.arjancodes.com
FaztWeb,https://github.com/FaztWeb?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/FaztWeb,https://faztweb.com
devcontainers,https://github.com/devcontainers?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/devcontainers,https://containers.dev
t3-oss,https://github.com/t3-oss?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/t3-oss,https://t3.gg
codesandbox,https://github.com/codesandbox?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/codesandbox,https://codesandbox.io
farcasterxyz,https://github.com/farcasterxyz?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/farcasterxyz,https://farcaster.xyz
fal-ai,https://github.com/fal-ai?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/fal-ai,https://fal.ai
aave,https://github.com/aave?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/aave,http://aave.com
lobehub,https://github.com/lobehub?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/lobehub,https://lobehub.com
warpdotdev,https://github.com/warpdotdev?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/warpdotdev,https://warp.dev
excalidraw,https://github.com/excalidraw?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/excalidraw,https://excalidraw.com
spicetify,https://github.com/spicetify?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/spicetify,https://spicetify.app
acikkaynak,https://github.com/acikkaynak?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/acikkaynak,https://acikkaynak.github.io
honojs,https://github.com/honojs?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/honojs,https://hono.dev
sismo-core,https://github.com/sismo-core?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/sismo-core,
solidjs,https://github.com/solidjs?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/solidjs,https://solidjs.com
thirdweb-dev,https://github.com/thirdweb-dev?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/thirdweb-dev,https://thirdweb.com
nostr-protocol,https://github.com/nostr-protocol?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/nostr-protocol,
unisat-wallet,https://github.com/unisat-wallet?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/unisat-wallet,
vercel-labs,https://github.com/vercel-labs?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/vercel-labs,https://vercel.com
MLH-Fellowship,https://github.com/MLH-Fellowship?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/MLH-Fellowship,https://fellowship.mlh.io/
pnp,https://github.com/pnp?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/pnp,http://aka.ms/community/home
angular-university,https://github.com/angular-university?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/angular-university,angular-university.io
alura,https://github.com/alura?q=&type=all&language=typescript&sort=stargazers,https://api.github.com/users/alura,https://www.alura.com.br
