name,github,website,,,
desktop,https://github.com/desktop?q=&type=all&language=typescript&sort=stargazers,https://desktop.github.com,,,
EddieHubCommunity,https://github.com/EddieHubCommunity?q=&type=all&language=typescript&sort=stargazers,http://eddiehub.org,,,
bluesky-social,https://github.com/bluesky-social?q=&type=all&language=typescript&sort=stargazers,,,,
langchain-ai,https://github.com/langchain-ai?q=&type=all&language=typescript&sort=stargazers,https://www.langchain.com,,,
TanStack,https://github.com/TanStack?q=&type=all&language=typescript&sort=stargazers,https://TanStack.com,,,
unjs,https://github.com/unjs?q=&type=all&language=typescript&sort=stargazers,https://unjs.io,,,
denoland,https://github.com/denoland?q=&type=all&language=typescript&sort=stargazers,https://deno.land,,,
berachain,https://github.com/berachain?q=&type=all&language=typescript&sort=stargazers,berachain.com,,,
prisma,https://github.com/prisma?q=&type=all&language=typescript&sort=stargazers,https://www.prisma.io,,,
nestjs,https://github.com/nestjs?q=&type=all&language=typescript&sort=stargazers,https://nestjs.com/,,,
radix-ui,https://github.com/radix-ui?q=&type=all&language=typescript&sort=stargazers,radix-ui.com,,,
total-typescript,https://github.com/total-typescript?q=&type=all&language=typescript&sort=stargazers,https://totaltypescript.com,,,
worldcoin,https://github.com/worldcoin?q=&type=all&language=typescript&sort=stargazers,https://www.worldcoin.org,,,
nomic-ai,https://github.com/nomic-ai?q=&type=all&language=typescript&sort=stargazers,,,,
SimplifyJobs,https://github.com/SimplifyJobs?q=&type=all&language=typescript&sort=stargazers,https://simplify.jobs/,,,
Orbiter-Finance,https://github.com/Orbiter-Finance?q=&type=all&language=typescript&sort=stargazers,www.orbiter.finance,,,
BuilderIO,https://github.com/BuilderIO?q=&type=all&language=typescript&sort=stargazers,https://builder.io,,,
shadcn-ui,https://github.com/shadcn-ui?q=&type=all&language=typescript&sort=stargazers,https://ui.shadcn.com,,,
venom-blockchain,https://github.com/venom-blockchain?q=&type=all&language=typescript&sort=stargazers,https://venom.foundation,,,
ArjanCodes,https://github.com/ArjanCodes?q=&type=all&language=typescript&sort=stargazers,https://www.arjancodes.com,,,
FaztWeb,https://github.com/FaztWeb?q=&type=all&language=typescript&sort=stargazers,https://faztweb.com,,,
devcontainers,https://github.com/devcontainers?q=&type=all&language=typescript&sort=stargazers,https://containers.dev,,,
t3-oss,https://github.com/t3-oss?q=&type=all&language=typescript&sort=stargazers,https://t3.gg,,,
codesandbox,https://github.com/codesandbox?q=&type=all&language=typescript&sort=stargazers,https://codesandbox.io,,,
farcasterxyz,https://github.com/farcasterxyz?q=&type=all&language=typescript&sort=stargazers,https://farcaster.xyz,,,
fal-ai,https://github.com/fal-ai?q=&type=all&language=typescript&sort=stargazers,https://fal.ai,,,
aave,https://github.com/aave?q=&type=all&language=typescript&sort=stargazers,http://aave.com,,,
lobehub,https://github.com/lobehub?q=&type=all&language=typescript&sort=stargazers,https://lobehub.com,,,
warpdotdev,https://github.com/warpdotdev?q=&type=all&language=typescript&sort=stargazers,https://warp.dev,,,
excalidraw,https://github.com/excalidraw?q=&type=all&language=typescript&sort=stargazers,https://excalidraw.com,,,
spicetify,https://github.com/spicetify?q=&type=all&language=typescript&sort=stargazers,https://spicetify.app,,,
acikkaynak,https://github.com/acikkaynak?q=&type=all&language=typescript&sort=stargazers,https://acikkaynak.github.io,Yes ,No,
honojs,https://github.com/honojs?q=&type=all&language=typescript&sort=stargazers,https://hono.dev,,,
sismo-core,https://github.com/sismo-core?q=&type=all&language=typescript&sort=stargazers,,,,
solidjs,https://github.com/solidjs?q=&type=all&language=typescript&sort=stargazers,https://solidjs.com,,,
thirdweb-dev,https://github.com/thirdweb-dev?q=&type=all&language=typescript&sort=stargazers,https://thirdweb.com,,,Review
nostr-protocol,https://github.com/nostr-protocol?q=&type=all&language=typescript&sort=stargazers,,,,
unisat-wallet,https://github.com/unisat-wallet?q=&type=all&language=typescript&sort=stargazers,,,,
vercel-labs,https://github.com/vercel-labs?q=&type=all&language=typescript&sort=stargazers,https://vercel.com,,,
MLH-Fellowship,https://github.com/MLH-Fellowship?q=&type=all&language=typescript&sort=stargazers,https://fellowship.mlh.io/,,,
pnp,https://github.com/pnp?q=&type=all&language=typescript&sort=stargazers,http://aka.ms/community/home,Yes  India,,
angular-university,https://github.com/angular-university?q=&type=all&language=typescript&sort=stargazers,angular-university.io,,,
alura,https://github.com/alura?q=&type=all&language=typescript&sort=stargazers,https://www.alura.com.br,,,
Apollo-Level2-Web-Dev,https://github.com/Apollo-Level2-Web-Dev?q=&type=all&language=typescript&sort=stargazers,https://web.programming-hero.com/home/level2/,,,
