name,github,website,
nextui-org,https://github.com/nextui-org?q=&type=all&language=typescript&sort=stargazers,https://nextui.org,
sst,https://github.com/sst?q=&type=all&language=typescript&sort=stargazers,https://sst.dev,
lifinance,https://github.com/lifinance?q=&type=all&language=typescript&sort=stargazers,https://li.fi,
element-plus,https://github.com/element-plus?q=&type=all&language=typescript&sort=stargazers,https://element-plus.org,
OpenDevin,https://github.com/OpenDevin?q=&type=all&language=typescript&sort=stargazers,,
appsmithorg,https://github.com/appsmithorg?q=&type=all&language=typescript&sort=stargazers,https://www.appsmith.com,
tonkeeper,https://github.com/tonkeeper?q=&type=all&language=typescript&sort=stargazers,https://tonkeeper.com,
mdbootstrap,https://github.com/mdbootstrap?q=&type=all&language=typescript&sort=stargazers,https://mdbootstrap.com,
gkd-kit,https://github.com/gkd-kit?q=&type=all&language=typescript&sort=stargazers,https://gkd.li,
syncfusion,https://github.com/syncfusion?q=&type=all&language=typescript&sort=stargazers,https://www.syncfusion.com,
google-github-actions,https://github.com/google-github-actions?q=&type=all&language=typescript&sort=stargazers,https://opensource.google/projects/github-actions,
VisActor,https://github.com/VisActor?q=&type=all&language=typescript&sort=stargazers,https://www.visactor.io,
LottieFiles,https://github.com/LottieFiles?q=&type=all&language=typescript&sort=stargazers,https://www.lottiefiles.com,
TomDoesTech,https://github.com/TomDoesTech?q=&type=all&language=typescript&sort=stargazers,https://youtube.com/TomDoesTech,
codedamn,https://github.com/codedamn?q=&type=all&language=typescript&sort=stargazers,https://codedamn.com,
illacloud,https://github.com/illacloud?q=&type=all&language=typescript&sort=stargazers,https://illacloud.com,
unplugin,https://github.com/unplugin?q=&type=all&language=typescript&sort=stargazers,https://github.com/unjs/unplugin,
scaffold-eth,https://github.com/scaffold-eth?q=&type=all&language=typescript&sort=stargazers,docs.scaffoldeth.io,
poap-xyz,https://github.com/poap-xyz?q=&type=all&language=typescript&sort=stargazers,https://www.poap.xyz,
wokwi,https://github.com/wokwi?q=&type=all&language=typescript&sort=stargazers,https://wokwi.com,
pnpm,https://github.com/pnpm?q=&type=all&language=typescript&sort=stargazers,https://pnpm.io,
VGVentures,https://github.com/VGVentures?q=&type=all&language=typescript&sort=stargazers,https://verygood.ventures,
onflow,https://github.com/onflow?q=&type=all&language=typescript&sort=stargazers,https://flow.com,
wormhole-foundation,https://github.com/wormhole-foundation?q=&type=all&language=typescript&sort=stargazers,https://wormhole.com/,
testdrivenio,https://github.com/testdrivenio?q=&type=all&language=typescript&sort=stargazers,https://testdriven.io,
mintlify,https://github.com/mintlify?q=&type=all&language=typescript&sort=stargazers,https://mintlify.com,
openfga,https://github.com/openfga?q=&type=all&language=typescript&sort=stargazers,https://openfga.dev/,
preactjs,https://github.com/preactjs?q=&type=all&language=typescript&sort=stargazers,https://preactjs.com,
vbenjs,https://github.com/vbenjs?q=&type=all&language=typescript&sort=stargazers,,
Irys-xyz,https://github.com/Irys-xyz?q=&type=all&language=typescript&sort=stargazers,https://irys.xyz,
mempool,https://github.com/mempool?q=&type=all&language=typescript&sort=stargazers,https://mempool.space/,
zkSync-Community-Hub,https://github.com/zkSync-Community-Hub?q=&type=all&language=typescript&sort=stargazers,https://docs.zksync.io/,
hop-protocol,https://github.com/hop-protocol?q=&type=all&language=typescript&sort=stargazers,https://hop.exchange,
Kanaries,https://github.com/Kanaries?q=&type=all&language=typescript&sort=stargazers,https://kanaries.net,
misskey-dev,https://github.com/misskey-dev?q=&type=all&language=typescript&sort=stargazers,,
zkPassOfficial,https://github.com/zkPassOfficial?q=&type=all&language=typescript&sort=stargazers,zkpass.org,
thirdweb-example,https://github.com/thirdweb-example?q=&type=all&language=typescript&sort=stargazers,thirdweb.com,
webstudio-is,https://github.com/webstudio-is?q=&type=all&language=typescript&sort=stargazers,https://webstudio.is,
vitest-dev,https://github.com/vitest-dev?q=&type=all&language=typescript&sort=stargazers,https://vitest.dev,
openai-translator,https://github.com/openai-translator?q=&type=all&language=typescript&sort=stargazers,,
electron-vite,https://github.com/electron-vite?q=&type=all&language=typescript&sort=stargazers,https://electron-vite.github.io,
type-challenges,https://github.com/type-challenges?q=&type=all&language=typescript&sort=stargazers,,
an-anime-team,https://github.com/an-anime-team?q=&type=all&language=typescript&sort=stargazers,https://aagl.launcher.moe,
Galaxies-dev,https://github.com/Galaxies-dev?q=&type=all&language=typescript&sort=stargazers,https://galaxies.dev,
FarmBot,https://github.com/FarmBot?q=&type=all&language=typescript&sort=stargazers,https://farm.bot,
remotion-dev,https://github.com/remotion-dev?q=&type=all&language=typescript&sort=stargazers,https://remotion.dev,
enmity-mod,https://github.com/enmity-mod?q=&type=all&language=typescript&sort=stargazers,https://enmity.unbound.rip,
ton-connect,https://github.com/ton-connect?q=&type=all&language=typescript&sort=stargazers,,
maybe-finance,https://github.com/maybe-finance?q=&type=all&language=typescript&sort=stargazers,https://maybe.co,
openwallet-foundation,https://github.com/openwallet-foundation?q=&type=all&language=typescript&sort=stargazers,https://openwallet.foundation/,
fmhy,https://github.com/fmhy?q=&type=all&language=typescript&sort=stargazers,https://fmhy.net/,
typestack,https://github.com/typestack?q=&type=all&language=typescript&sort=stargazers,https://docs.typestack.community/,
kubeshop,https://github.com/kubeshop?q=&type=all&language=typescript&sort=stargazers,https://kubeshop.io/,
PHI-LABS-INC,https://github.com/PHI-LABS-INC?q=&type=all&language=typescript&sort=stargazers,https://philand.xyz/,
Heroic-Games-Launcher,https://github.com/Heroic-Games-Launcher?q=&type=all&language=typescript&sort=stargazers,https://heroicgameslauncher.com,
Authenticator-Extension,https://github.com/Authenticator-Extension?q=&type=all&language=typescript&sort=stargazers,https://authenticator.cc,
jup-ag,https://github.com/jup-ag?q=&type=all&language=typescript&sort=stargazers,https://jup.ag,
ethereum-attestation-service,https://github.com/ethereum-attestation-service?q=&type=all&language=typescript&sort=stargazers,https://attest.sh,
gitkraken,https://github.com/gitkraken?q=&type=all&language=typescript&sort=stargazers,https://www.gitkraken.com,
nodejumper-org,https://github.com/nodejumper-org?q=&type=all&language=typescript&sort=stargazers,https://nodejumper.io,
subquery,https://github.com/subquery?q=&type=all&language=typescript&sort=stargazers,https://subquery.network,
the-guild-org,https://github.com/the-guild-org?q=&type=all&language=typescript&sort=stargazers,http://the-guild.dev,
hydralauncher,https://github.com/hydralauncher?q=&type=all&language=typescript&sort=stargazers,,
10k-swap,https://github.com/10k-swap?q=&type=all&language=typescript&sort=stargazers,https://10kswap.com,
redstone-finance,https://github.com/redstone-finance?q=&type=all&language=typescript&sort=stargazers,https://redstone.finance,
oktadev,https://github.com/oktadev?q=&type=all&language=typescript&sort=stargazers,https://developer.okta.com,
mx-space,https://github.com/mx-space?q=&type=all&language=typescript&sort=stargazers,https://mx-space.js.org/,
amplication,https://github.com/amplication?q=&type=all&language=typescript&sort=stargazers,https://amplication.com,
Gozargah,https://github.com/Gozargah?q=&type=all&language=typescript&sort=stargazers,,
svecosystem,https://github.com/svecosystem?q=&type=all&language=typescript&sort=stargazers,,
Web3Auth,https://github.com/Web3Auth?q=&type=all&language=typescript&sort=stargazers,,
